Ticket_ID,Customer_ID,Technical Level,FaQ,Category,Answer,Emotional State,Status
1038,C39,Advanced,Can we perform the full scan on workstations and servers from defender portal?,Hardware,"Running a full scan on servers consumes significant resources, including CPU and disk I/O, which may impact the performance of services running on those servers. It is recommended to schedule such scans during off-peak hours to minimize disruption.",Satisfied,Closed
1039,C40,Advanced,Why is file transfer slow when accessing NAS drives over a bridged connection on my PC with Windows 11?,Software,1. Check Network Adapter Settings 2. Verify Bridge Connection Configuration 3. Update Network Drivers:,Confused,Open
1040,C41,Advanced,What’s the difference between IPv4 and IPv6?,Network,IPv4 and IPv6 are two versions of the Internet Protocol (IP) addressing system,Confused,Open
1041,C42,Intermediate,How does a computer network work?,Network,"Nodes and links are the basic building blocks in computer networking. A network node may be data communication equipment (DCE) such as a modem, hub or, switch, or data terminal equipment (DTE) such as two or more computers and printers. ",Confused,Open
1042,C43,Intermediate,How can I access to a client's gmail?,Account,"Delegation only works between accounts in the same organisation (normally, same domain)",Confused,Closed
1043,C44,Intermediate,Why don't I receive emails?,Account,Open a browser on your computer and log directly into your Gmail account.,Frustrated,Open
1044,C45,Beginner,How can I delete my account?,Account,Kindly refer to this help article for more info and instruction to delete your Gmail account: https://support.google.com/accounts/answer/32046. ,Satisfied,Closed
1045,C46,Beginner,How can I log out from all devices?,Account,"You can remove  Unwanted Device from your Account to prevent getting Google Prompt or  accessing your Data, Select  Sign out to remove unwanted Devices ",Satisfied,Closed
1046,C47,Beginner,How do I delete an email I accidentally archieved?,Account,"Select All mail and  check for archive mails, when archive not loading, Select Any Time option and Select a custom range, Apply, Still not loading Select Important folder and  Select custom range",Frustrated,Open
1047,C48,Advanced,How to change the default network adapter used by applications?,Network,"Go to Control Panel > Network and Internet> Network Connection, Right-click on Adapter 1 and select Properties, Select Internet Protocol Version 4 (TCP/IPv4) and click Properties, Uncheck Automatic metric** and enter a lower number like `1` in the **Interface metric** field.",Confused,Open
1048,C49,Beginner,How can I test my computer's RAM for errors?,Hardware,Use diagnostic tools like Windows Memory Diagnostic or MemTest86. These tools can run extensive tests on your RAM to check for any defects or issues.,Confused,Closed
1049,C50,Intermediate,Why won't my computer turn on?,Hardware,Check the power supply cables and connections. Ensure the power source is working. ,Frustrated,Open
1050,C51,Beginner,How can I add more storage to my computer?,Hardware,"Install an additional internal hard drive or SSD if there's space available. Alternatively, use an external hard drive or upgrade to a larger capacity drive. Make sure to back up your data before making hardware changes.",Satisfied,Closed
1051,C52,Advanced,Why is my computer's fan so loud?,Hardware,Clean the fans to remove dust and debris that may be causing them to work harder. Ensure proper ventilation around your computer,Frustrated,Open
1052,C53,Advanced,How can I tell if my power supply is failing?,Hardware,"Common symptoms include random computer crashes, frequent reboots, or the computer not starting at all. Test with a power supply tester or multimeter, or try a different power supply to see if the issue persists.",Satisfied,Closed
1053,C54,Beginner,What can cause my computer to randomly shut down?,Hardware,"Overheating is a common cause, so check for proper ventilation and functioning cooling systems. Inspect the power supply and test for hardware failures using diagnostic software.",Satisfied,Closed
1054,C55,Intermediate,What should I do if my keyboard or mouse is not responding?,Hardware,"Check the connections, whether USB or Bluetooth, and ensure they are secure",Frustrated,Open
1055,C56,Advanced,How can I disable all Firewall in Windows?,Network,"You can set the computer's network type to ""Private Network"" so that devices on the same LAN can see each other.",Frustrated,Open
1056,C57,Advanced,How can I access to a shared folder?,Account,"1. Press Win + R keys and enter gpedit.msc to launch the Local Group Policy Editor. 2. Locate the ""Computer Configuration-Administrative Templates-Network-Lanman Workstation"" node. In the content area on the right, you can see the policy setting ""Enable insecure guest login"". The status is ""Not configured"". 3. Double-click on the policy setting ""Enable insecure guest logins"", change the status to ""Enabled"" and click on the OK button.",Confused,Closed
1057,C58,Intermediate,How to fix bad local network connections?,Network, Go to the manufacturer's website and download the latest driver for your network adapter. Install the driver and restart your computer.,Frustrated,Open
1058,C59,Beginner,How to unlock your account?,Account,"You can unlock it yourself online by clicking on ""forgotten your password?""",Frustrated,Open
1059,C60,Intermediate,My software application is crashing or not responding. How can I fix it?,Software,1. Restart the application. 2.Check for and install any available updates. 3.Reinstall the application.,Satisfied,Open
1060,C61,Intermediate, My external hard drive is not recognized by my computer. What should I do?,Hardware,1. Try connecting the drive to a different USB port or computer. 2. Check the drive’s power supply (if applicable).,Confused,Open
1061,C62,Beginner,How to have a temporary username?,Account,"Access to the official IT service portal, select sign in, go to accounts and settings, you will see the request form. Fill the boxes and submit.",Satisfied,Closed
1062,C63,Beginner,How to open a downloaded file on chrome without saving it beforehand?,Account,To ensure the documents open directly without having to save first - do the following: 1. In Chrome go to the website where you wish to download a document 2. Click on the document to download 4. A download box will appear on the bottom left of the screen just above the taskbar 4. Click on Always open files of this type,Satisfied,Closed
1063,C64,Beginner,How to use Skype?,Account,"You can access Skype from your start menu if you're on a company PC. If you don't have it installed, you can submit a software request form here. If you're using a personal device, you can download Skype from the official Skype website. Once installed, you should be greeted with a login screen.",Satisfied,Closed
1064,C65,Advanced,My device is not syncing with the cloud. How can I resolve this?,Software,1.Check your internet connection. 2. Ensure you are logged into the correct cloud account. 3. Restart the sync application.,Confused,Open
1065,C66,Intermediate,How to change VPN profiles for specific device?,Network,"To change the VPN profile and When advised by IT Services: Open Start Menu --> Microsoft Endpoint Manager -->Software Center and browse to the Applications menu. When you can see the Always_On_VPN_Profile_Admin_R1.15 in the Applications section, click Install/Reinstall. ",Frustrated,Open
1066,C67,Advanced,"My monitor shows a ""No Signal"" message. How can I fix this?",Hardware,1. Check that the monitor is correctly connected to the computer. 2. Ensure the monitor is set to the correct input source. 3. Restart the computer and monitor.,Confused,Open
1067,C68,Advanced,My computer keeps restarting randomly. How can I fix this?,Hardware,1. Check for overheating and ensure proper ventilation. 2. Run a virus scan to check for malware. 3. Ensure all cables and components are securely connected.,Frustrated,Open
1068,C69,Beginner,My laptop's touchpad is not working. How can I fix it?,Hardware,1. Ensure the touchpad is enabled. Check the function keys or touchpad settings. 2. Restart the laptop 3. Update the touchpad drivers,Frustrated,Open
1069,C70,Intermediate,How can I fix random freezes of my computer?,Hardware,1. Restart the computer. 2. Check for software updates and install them. 3. Run a virus and malware scan.,Confused,Open
1070,C71,Beginner,How can I fix a  webcam issue?,Software,1. Ensure the webcam is not covered or obstructed. 2. Check the webcam settings in the application you’re using. 3. Restart the computer.,Confused,Open
1071,C72,Intermediate,How can I connect to a bluetooth with my device?,Network,1. Ensure Bluetooth is enabled on both devices. 2. Restart both devices. 3. Remove any existing pairings and try pairing again.,Frustrated,Open
